BranchName,Address,City,IsOpen24Hours,LatitudeY,LongitudeX,xITM,yITM
Super-Pharm,"Jerusalem Blvd 49, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0498943,34.759101,661978.664361202,177463.1716342272
Super-Pharm,"Arye Shenkar St 16, Herzliya, Israel",Herzliya,True,32.1586608,34.8079223,674021.8615551754,182118.4058198529
Super-Pharm,"Allenby St 115, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0624808,34.7736408,663368.8077774912,178841.93627365283
Super-Pharm,"Ha'Atsmaut Blvd 67, Bat Yam, Israel",Bat Yam,True,32.0281114,34.748518,659567.3356407817,176453.4737260111
Super-Pharm,"Shlomo Ibn Gabirol St 124, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.08689,34.78227,666072.3279868915,179667.3913036798
Super-Pharm,"Yigal Alon St 51, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0614257,34.7916574,663245.157945465,180542.81006611465
Super-Pharm,"Sderot Sha'ul HaMelech 4, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0753545,34.7825281,664793.057637977,179686.7535115126
Super-Pharm,"HaBarzel St 23, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1092714,34.8396299,668534.4479179593,185090.88209342587
Super Pharm Bat Yam,"Yoseftal St 92, Bat Yam, Israel",Bat Yam,True,32.015456,34.75544300000001,658161.2452396362,177101.82002802464
Super-Pharm,"Pinkhas Rosen St 65, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1143404,34.8250777,669101.2943328067,183719.38921458053
סופר-פארם קניון הנגב,"Be'er Sheva, Israel",Israel,True,31.2436883,34.7948804,572571.0002958844,180506.97147827217
Super-Pharm,"Nakhalat Yitskhak St 20, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0739884,34.7980243,664635.9532569898,181149.29518222454
Super-Pharm,"Sderot David Razi'el 1, Ramla, Israel",Ramla,True,31.9256462,34.8640676,648164.9378461498,187333.2219890012
Super-Pharm,"Ahad Ha'Am St 9, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0641153,34.7695928,663551.5907747993,178460.4106808612
Super-Pharm,"Sderot Giborei Israel 5, Netanya, Israel",Netanya,True,32.2767292,34.8614812,687097.3727524177,187212.49230679197
Super-Pharm דרך המשחררים,"Derech HaMeshahrerim 70, Be'er Sheva, Israel",Be'er Sheva,True,31.2515083,34.7860763,573441.1930568175,179671.55720000734
סופר-פארם ביג באר שבע,"Heil Handasa St 2, Be'er Sheva, Israel",Be'er Sheva,True,31.2434365,34.8105836,572537.6407227464,182002.79429381137
Superpharm Merom Center,"Khayim Landau St 7, Ramat Gan, Israel",Ramat Gan,True,32.0718626,34.8281558,664389.9025915916,183993.45253461978
Super-Pharm,"Einstein St 40, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1122621,34.7945882,668881.3677104806,180840.99587700778
Super-Pharm,"Derech HaMaccabim 16, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9758021,34.8083487,653744.5312801051,182084.19068785707
Super-Pharm,"דיזינגוף 50 דיזינגוף סנטר, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.075436,34.775457,664804.7283210984,179019.15347545018
Super-Pharm,"Allenby St 1, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0736348,34.7658758,664608.6303959434,178113.70834919807
"סופר-פארם היכל פ""ת","Hahistadrut St 26, Petah Tikva, Israel",Petah Tikva,True,32.0860497,34.8867304,665945.3162162111,189528.74508740075
Super-Pharm Tiberias,"ירדן פינת, HaShiloah St 1, Tiberias, Israel",HaShiloah St 1,True,32.7877195,35.5380788,743762.2129048223,250776.7288692004
סופר-פארם קניון השלום עזריאלי,"Derech Menachem Begin 132, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0740622,34.7913394,664646.5344202109,180518.14577197185
Super Pharm,"Yig'al Alon Ave 3, Bet Shemesh, Israel",Bet Shemesh,True,31.7558843,34.9906423,629310.2487163395,199266.3783356053
Super-Pharm,"Rothschild St 45, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9632209,34.8013917,652351.8531883839,181421.42059456842
Super-Pharm Dizengoff Square,"Pinsker St 69, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0775795,34.7735856,665043.1258094542,178843.40996908417
סופר-פארם קניון ראשונים,"Sderot Nim 2, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9499588,34.8033142,650880.5701690709,181597.70894452452
סופר-פארם מגדלי אלון תל אביב,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0687127,34.7948015,664052.0815730431,180842.7807213872
Super-Pharm,"מרכז מול, Ahuza St 267, Ra'anana, Israel",Ahuza St 267,True,32.18415040000001,34.8532616,676833.5837565472,186404.56000320645
Super-Pharm,"הרצל 96 פינת, Florentin St 41, Tel Aviv-Yafo, Israel",Florentin St 41,True,32.0563883,34.7707801,662694.29251501,178569.08327156008
