BranchName,Address,City,IsOpen24Hours,LatitudeY,LongitudeX,xITM,yITM
Super-Pharm,"Jerusalem Blvd 49, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0498943,34.759101,0,0
Super-Pharm,"Arye Shenkar St 16, Herzliya, Israel",Herzliya,True,32.1586608,34.8079223,0,0
Super-Pharm,"Allenby St 115, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0624808,34.7736408,0,0
Super-Pharm,"Ha'Atsmaut Blvd 67, Bat Yam, Israel",Bat Yam,True,32.0281114,34.748518,0,0
Super-Pharm,"Shlomo Ibn Gabirol St 124, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.08689,34.78227,0,0
Super-Pharm,"Yigal Alon St 51, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0614257,34.7916574,0,0
Super-Pharm,"Sderot Sha'ul HaMelech 4, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0753545,34.7825281,0,0
Super-Pharm,"HaBarzel St 23, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1092714,34.8396299,0,0
Super Pharm Bat Yam,"Yoseftal St 92, Bat Yam, Israel",Bat Yam,True,32.015456,34.75544300000001,0,0
Super-Pharm,"Pinkhas Rosen St 65, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1143404,34.8250777,0,0
סופר-פארם קניון הנגב,"Be'er Sheva, Israel",Israel,True,31.2436883,34.7948804,0,0
Super-Pharm,"Nakhalat Yitskhak St 20, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0739884,34.7980243,0,0
Super-Pharm,"Sderot David Razi'el 1, Ramla, Israel",Ramla,True,31.9256462,34.8640676,0,0
Super-Pharm,"Ahad Ha'Am St 9, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0641153,34.7695928,0,0
Super-Pharm,"Sderot Giborei Israel 5, Netanya, Israel",Netanya,True,32.2767292,34.8614812,0,0
Super-Pharm דרך המשחררים,"Derech HaMeshahrerim 70, Be'er Sheva, Israel",Be'er Sheva,True,31.2515083,34.7860763,0,0
סופר-פארם ביג באר שבע,"Heil Handasa St 2, Be'er Sheva, Israel",Be'er Sheva,True,31.2434365,34.8105836,0,0
Superpharm Merom Center,"Khayim Landau St 7, Ramat Gan, Israel",Ramat Gan,True,32.0718626,34.8281558,0,0
Super-Pharm,"Einstein St 40, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.1122621,34.7945882,0,0
Super-Pharm,"Derech HaMaccabim 16, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9758021,34.8083487,0,0
Super-Pharm,"דיזינגוף 50 דיזינגוף סנטר, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.075436,34.775457,0,0
Super-Pharm,"Allenby St 1, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0736348,34.7658758,0,0
"סופר-פארם היכל פ""ת","Hahistadrut St 26, Petah Tikva, Israel",Petah Tikva,True,32.0860497,34.8867304,0,0
Super-Pharm Tiberias,"ירדן פינת, HaShiloah St 1, Tiberias, Israel",HaShiloah St 1,True,32.7877195,35.5380788,0,0
סופר-פארם קניון השלום עזריאלי,"Derech Menachem Begin 132, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0740622,34.7913394,0,0
Super Pharm,"Yig'al Alon Ave 3, Bet Shemesh, Israel",Bet Shemesh,True,31.7558843,34.9906423,0,0
Super-Pharm,"Rothschild St 45, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9632209,34.8013917,0,0
Super-Pharm Dizengoff Square,"Pinsker St 69, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0775795,34.7735856,0,0
סופר-פארם קניון ראשונים,"Sderot Nim 2, Rishon LeTsiyon, Israel",Rishon LeTsiyon,True,31.9499588,34.8033142,0,0
סופר-פארם מגדלי אלון תל אביב,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0687127,34.7948015,0,0
Super-Pharm,"מרכז מול, Ahuza St 267, Ra'anana, Israel",Ahuza St 267,True,32.18415040000001,34.8532616,0,0
Super-Pharm,"הרצל 96 פינת, Florentin St 41, Tel Aviv-Yafo, Israel",Florentin St 41,True,32.0563883,34.7707801,0,0
Super Pharm,"Yad Harutsim St 18, Jerusalem, Israel",Jerusalem,True,31.7509469,35.2153861,0,0
Super-Pharm,"Jerusalem Central Station, Jaffa St 234, Jerusalem, Israel",Jaffa St 234,True,31.7891686,35.2034022,0,0
Super-Pharm,"Shlomo Ibn Gabirol St 62, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0792868,34.7816028,0,0
Super-Pharm,"HaTa'arucha St 3, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0985233,34.7754244,0,0
סופר-פארם איכילוב,"Weizmann St 14 א, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.08142780000001,34.7898728,0,0
Super-Pharm,"יכין סנטר, Derech Yitshak Rabin 17, Petah Tikva, Israel",Derech Yitshak Rabin 17,True,32.0873596,34.8604253,0,0
Super-Pharm,"Ha-Mif'al St 11, Or Yehuda, Israel",Or Yehuda,True,32.0344368,34.849517,0,0
Super-Pharm,"Sokolov St 25, Herzliya, Israel",Herzliya,True,32.1673997,34.841295,0,0
Super-Pharm,"Tsamarot St 2, Herzliya, Israel",Herzliya,True,32.1515256,34.8428763,0,0
Super-Pharm,"Ha-Histadrut St 3, Jerusalem, Israel",Jerusalem,True,31.7817653,35.2170531,0,0
Super-Pharm,"Abba Hillel Silver Rd 165, Ramat Gan, Israel",Ramat Gan,True,32.1009906,34.8269394,0,0
Super-Pharm,"Bialik St 76, Ramat Gan, Israel",Ramat Gan,True,32.0857379,34.8116101,0,0
Super-Pharm,"David Ben Gurion Rd 183, Ramat Gan, Israel",Ramat Gan,True,32.0744089,34.8187477,0,0
Super-Pharm,"דיזנגוף 129 פינת, J. L. Gordon St, Tel Aviv-Yafo, Israel",J. L. Gordon St,True,32.0817292,34.7736591,0,0
Super-Pharm,"Herzl St 182, Rehovot, Israel",Rehovot,True,31.8968759,34.8110362,0,0
Super-Pharm,"הרצל 58 קניון, Netanya, Israel",Netanya,True,32.3260279,34.8615113,0,0
Super-Pharm,"HaBanim St 1, Ashdod, Israel",Ashdod,True,31.7949197,34.6399758,0,0
Super Pharm,"Emek Refa'im St 24, Jerusalem, Israel",Jerusalem,True,31.76446899999999,35.220536,0,0
Super-Pharm,"Emek Beit She'an St 29, Modi'in-Maccabim-Re'ut, Israel",Modi'in-Maccabim-Re'ut,True,31.9117252,35.0015534,0,0
Super-Pharm,"רמב""ם 3, Ramat Gan, Israel",Ramat Gan,True,32.0839976,34.8145385,0,0
Super Pharm Sheinkin,"פינת, Sheinkin St 62, Tel Aviv-Yafo, Israel",Sheinkin St 62,True,32.0683356,34.7769454,0,0
